Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения
"Кукла Майя-морячка";"";"8575Y";"RUB";"599";"1";"";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Майя-морячка";"";"";"kukla-mayya-moryachka";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/6c/6c/6c6c2da5a4d7509f2eca029533831b4b.jpg"
"Кукла Майя в тунике";"";"8789B";"RUB";"399";"1";"599";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в тунике";"";"";"kukla-mayya-v-tunike";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/85/24/8524123edcc2861873f6a3fcf3845570.jpg"
"Кукла Майя в трикотажной куртке";"";"8575T";"RUB";"599";"1";"";"";"";"Издает звук «Я на горку шла» при нажатии на игрушку";"";"Кукла Майя в трикотажной куртке";"";"";"kukla-mayya-v-trikotazhnoy-kurtke";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/87/bc/87bcf8dabf6636184bb3e2dc3dbc5fc2.jpg"
"Кукла Майя в тапочках с помпонами";"";"8371G";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в тапочках с помпонами";"";"";"kukla-mayya-v-tapochkakh-s-pomponami";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/30/02/30022bbe43e1ae4dfb45a5e38cd7cb34.jpg"
"Кукла Майя в свитере с узором";"";"8789J";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в свитере с узором";"";"";"kukla-mayya-v-svitere-s-uzorom";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/c7/9c/c79c53ff51b91bc6d5ed1ef28325ec82.jpg"
"Кукла Майя в свитере с орнаментом";"";"8789F";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Майя в свитере с орнаментом";"";"";"kukla-mayya-v-svitere-s-ornamentom";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/fb/d1/fbd16629724ad2e27cbc89631063657c.jpg"
"Кукла Майя в свитере в бирюзовую полоску";"";"8575L";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в свитере в бирюзовую полоску";"";"";"kukla-mayya-v-svitere-v-biryuzovuyu-polosku";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/cf/99/cf99cb9e70c6f699a0e4de60d45cf2aa.jpg"
"Кукла Майя в свитере";"";"8371A";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в свитере";"";"";"kukla-mayya-v-svitere";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/30/c2/30c27bf50f7940e887bcfa22f9f57e4c.jpg"
"Кукла Майя в сарафане с яблочками";"";"8575J";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в сарафане с яблочками";"";"";"kukla-mayya-v-sarafane-s-yablochkami";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/db/3f/db3fa843402b36958292e7f870565145.jpg"
"Кукла Майя в сарафане с карманами";"";"8575H";"RUB";"599";"1";"";"";"";"Издает звук «Я на горку шла» при нажатии на игрушку";"";"Кукла Майя в сарафане с карманами";"";"";"kukla-mayya-v-sarafane-s-karmanami";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/a1/f0/a1f00280927a1c1940835eaa48a1782b.jpg"
"Кукла Майя в полосатом джемпере";"";"8371M";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в полосатом джемпере";"";"";"kukla-mayya-v-polosatom-dzhempere";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/8d/00/8d00aa6330d4af744fb7c349c3df3e1b.jpg"
"Кукла Майя в плаще";"";"8371L";"RUB";"599";"1";"";"";"";"Издает звук «Каравай» при нажатии на игрушку";"";"Кукла Майя в плаще";"";"";"kukla-mayya-v-plashche";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/60/18/601892f17e5cf34aac22e2b17b639834.jpg"
"Кукла Майя в платье с кружевом";"";"8789E";"RUB";"599";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в платье с кружевом";"";"";"kukla-mayya-v-plate-s-kruzhevom";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/c3/c0/c3c04fa52f878722f725e813f21bba7a.jpg"
"Кукла Майя в платье с вышитой овечкой";"";"8789K";"RUB";"399";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в платье с вышитой овечкой";"";"";"kukla-mayya-v-plate-s-vyshitoy-ovechkoy";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/9a/c4/9ac44e2fdb33b4691be934d414bdb2c0.jpg"
"Кукла Майя в платье с вышитой лошадкой";"";"8575Z";"RUB";"599";"1";"";"";"";"Издает звук «Каравай» при нажатии на игрушку";"";"Кукла Майя в платье с вышитой лошадкой";"";"";"kukla-mayya-v-plate-s-vyshitoy-loshadkoy";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/0f/36/0f3638fa36a3f8cba01e2549ab9b712a.jpg"
"Кукла Майя в платье с вышивкой";"";"8371Z";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в платье с вышивкой";"";"";"kukla-mayya-v-plate-s-vyshivkoy";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/ab/59/ab59429c7b998c5bd5271800aedfaef9.jpg"
"Кукла Майя в платье с вишнями";"";"8575C";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Майя в платье с вишнями";"";"";"kukla-mayya-v-plate-s-vishnyami";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/7d/c0/7dc0ae539506d5791b24342288774fe6.jpg"
"Кукла Майя в платье в полоску";"";"8789G";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в платье в полоску";"";"";"kukla-mayya-v-plate-v-polosku";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/96/89/968963687b37023f577c6bde81015e14.jpg"
"Кукла Майя в платье";"";"8371B";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Майя в платье";"";"";"kukla-mayya-v-plate";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/b1/69/b169fb1d33ff18f116de7085e46bdb81.jpg"
"Кукла Майя в меланжевом свитере";"";"8789C";"RUB";"599";"1";"";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Кукла Майя в меланжевом свитере";"";"";"kukla-mayya-v-melanzhevom-svitere";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/d5/3f/d53f219c1e473ad63f0f3861ce017779.jpg"
"Кукла Майя в красном свитере";"";"8371N";"RUB";"599";"1";"";"";"";"Издает звук «Во поле берёза стояла» при нажатии на игрушку";"";"Кукла Майя в красном свитере";"";"";"kukla-mayya-v-krasnom-svitere";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/2b/b8/2bb8d79515b75c0caa342b8c20180240.jpg"
"Кукла Майя в красном платье в горошек";"";"8789D";"RUB";"599";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в красном платье в горошек";"";"";"kukla-mayya-v-krasnom-plate-v-goroshek";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/8c/a4/8ca4a3548ebf744d8d19bfe20dc563d2.jpg"
"Кукла Майя в красном платье";"";"8575F";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Майя в красном платье";"";"";"kukla-mayya-v-krasnom-plate";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/b7/31/b7319e8bdae15397c8540113aa3e41ee.jpg"
"Кукла Майя в красной толстовке";"";"8789A";"RUB";"599";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в красной толстовке";"";"";"kukla-mayya-v-krasnoy-tolstovke";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/c8/ac/c8aca10583a5662c2c0f5bcf62cba03f.jpg"
"Кукла Майя в кофточке с божьей коровкой";"";"8789H";"RUB";"399";"1";"599";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Кукла Майя в кофточке с божьей коровкой";"";"";"kukla-mayya-v-koftochke-s-bozhey-korovkoy";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/d5/90/d59004679c0e4127a561647412e15d83.jpg"
"Кукла Майя в кофточке с бантиком";"";"8575R";"RUB";"399";"1";"599";"";"";"Издает звук «Во поле берёза стояла» при нажатии на игрушку";"";"Кукла Майя в кофточке с бантиком";"";"";"kukla-mayya-v-koftochke-s-bantikom";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/5d/a5/5da51a95b2cb018cc2dea5d8f35625e0.jpg"
"Кукла Майя в комбинезоне";"";"8371C";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в комбинезоне";"";"";"kukla-mayya-v-kombinezone";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/5c/e7/5ce766851ad558eca09f777212844dff.jpg"
"Кукла Майя в клетчатом сарафане";"";"8575N";"RUB";"399";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в клетчатом сарафане";"";"";"kukla-mayya-v-kletchatom-sarafane";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/ce/28/ce28353086df6753d2b64e8086e28ed4.jpg"
"Кукла Майя в жёлтой толстовке";"";"8575X";"RUB";"599";"1";"";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Кукла Майя в жёлтой толстовке";"";"";"kukla-mayya-v-zhёltoy-tolstovke";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/6d/cf/6dcf9a1fca92311030dbfaa810614f85.jpg"
"Кукла Майя в вязаной жилетке";"";"8575E";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в вязаной жилетке";"";"";"kukla-mayya-v-vyazanoy-zhiletke";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/eb/a5/eba5e4205c1ad75a59152c3826c5e982.jpg"
"Кукла Майя в бальном платье";"";"8575Q";"RUB";"599";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в бальном платье";"";"";"kukla-mayya-v-balnom-plate";"";"";"Высота: 36 шт.";"http://www.lavatoys.ru/media/thumbs/cb/9b/cb9b717047d9ac63d39d599f4f74c91c.jpg"
"Кукла Майя";"";"8371";"RUB";"599";"1";"";"";"";"Издает звук «Мы на лодочке катались» при нажатии на игрушку";"";"Кукла Майя";"";"";"kukla-mayya";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/c6/1c/c61c0e36dd1885a5a3cab0dacadd5f90.jpg"
"!!Кукла Танюша";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Танюша в платье с фартуком";"";"8749C";"RUB";"499";"1";"699";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Танюша в платье с фартуком";"";"";"kukla-tanyusha-v-plate-s-fartukom";"";"";"Высота: 30 см";"http://www.lavatoys.ru/media/thumbs/68/39/68396483426ec235afdb0913cc6e7da3.jpg"
"Кукла Танюша в платье с воланами";"";"8749E";"RUB";"499";"1";"699";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Танюша в платье с воланами";"";"";"kukla-tanyusha-v-plate-s-volanami";"";"";"Высота: 30 см";"http://www.lavatoys.ru/media/thumbs/3a/11/3a1154f1b2a8db93a9f5865cd88fce30.jpg"
"Кукла Танюша в платье";"";"8749";"RUB";"499";"1";"699";"";"";"Издает звук «Колокольчики мои» при нажатии на игрушку";"";"Кукла Танюша в платье";"";"";"kukla-tanyusha-v-plate";"";"";"Высота: 30 см";"http://www.lavatoys.ru/media/thumbs/5d/d8/5dd8bb424dfda1c312a797c4ac688475.jpg"
"Кукла Танюша в панаме";"";"8749B";"RUB";"499";"1";"699";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Танюша в панаме";"";"";"kukla-tanyusha-v-paname";"";"";"Высота: 30 см";"http://www.lavatoys.ru/media/thumbs/17/89/1789ff39b554cf4f40a8d2b2fd49f0cd.jpg"
"Кукла Танюша в летнем костюмчике";"";"8749D";"RUB";"499";"1";"699";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Танюша в летнем костюмчике";"";"";"kukla-tanyusha-v-letnem-kostyumchike";"";"";"Высота: 30 см";"http://www.lavatoys.ru/media/thumbs/ce/7b/ce7b55146fdac48198d9580b385f49bb.jpg"
"!!Куклы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пиноккио с пуговицами";"";"8710";"RUB";"369";"1";"469";"";"";"Издает звук «Хорошо уметь читать» при нажатии на игрушку";"";"Пиноккио с пуговицами";"";"";"pinokkio-s-pugovitsami";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/67/1d/671d004f022d3e4376cb842543f4d1b4.jpg"
"Пиноккио малый";"";"206A";"RUB";"369";"1";"469";"";"";"Издает звук «Дождик, дождик, поливай» при нажатии на игрушку";"";"Пиноккио малый";"";"";"pinokkio-malyy";"";"";"Высота: 20,5 см";"http://www.lavatoys.ru/media/thumbs/a5/37/a537db9908b38b230e99553c8dcf07fa.jpg"
"Пиноккио большой";"";"198";"RUB";"499";"1";"799";"";"";"Издает звук «Задорный смех» при нажатии на игрушку";"";"Пиноккио большой";"";"";"pinokkio-bolshoy";"";"";"Высота: 46 см";"http://www.lavatoys.ru/media/thumbs/72/ee/72ee75de5b3d33133fa9c4c7d4e83ed5.jpg"
"Медведица в зелёном платье танцующая";"";"8756As";"RUB";"899";"1";"";"";"";"Издает звук «Частушки» при нажатии на игрушку";"";"Медведица в зелёном платье танцующая";"";"";"medveditsa-v-zelёnom-plate-tantsuyushchaya";"";"";"Высота: 32 см";"http://www.lavatoys.ru/media/thumbs/8e/7e/8e7ead54c873b7b136043d965cd491a4.jpg"
"Малыш со слюнявчиком";"";"891";"RUB";"369";"1";"499";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Малыш со слюнявчиком";"";"";"malysh-so-slyunyavchikom";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/c1/46/c146c6d907c5c7006a4a9f86b4af630c.jpg"
"Малыш в штанишках";"";"8640";"RUB";"199";"1";"399";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Малыш в штанишках";"";"";"malysh-v-shtanishkakh";"";"";"Высота: 18,5 см";"http://www.lavatoys.ru/media/thumbs/ff/4e/ff4eeda25eeba71a9ecf489bd68ca63f.jpg"
"Куколка танцующая в русском сарафане";"";"8767As";"RUB";"1099";"1";"";"";"";"Издает звук «Уморилась» при нажатии на игрушку";"";"Куколка танцующая в русском сарафане";"";"";"kukolka-tantsuyushchaya-v-russkom-sarafane";"";"";"Высота: 24 шт.";"http://www.lavatoys.ru/media/thumbs/d4/d6/d4d6438abaddb528edcea1103c0acf89.jpg"
"Куколка танцующая";"";"8767s";"RUB";"999";"1";"";"";"";"Издает звук «Уморилась» при нажатии на игрушку";"";"Куколка танцующая";"";"";"kukolka-tantsuyushchaya";"";"";"Высота: 31 см";"http://www.lavatoys.ru/media/thumbs/92/ba/92ba7a5f5ec9efa02c4a6a261ec26d1b.jpg"
"Куколка Нелли";"";"1227s";"RUB";"349";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Куколка Нелли";"";"";"kukolka-nelli";"";"";"Высота: 96 шт.";"http://www.lavatoys.ru/media/thumbs/11/13/11139a4d83d897e003adb4dc95d936ef.jpg"
"Куколка Любаша";"";"1095";"RUB";"449";"1";"";"";"";"Издает звук «Мне мама платьице купила» при нажатии на игрушку";"";"Куколка Любаша";"";"";"kukolka-lyubasha";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/77/60/7760a2f4c78908bd37f63436d0c55132.jpg"
"Куколка";"";"8061A";"RUB";"469";"1";"599";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Куколка";"";"";"kukolka";"";"";"Высота: 27,5 см";"http://www.lavatoys.ru/media/thumbs/aa/3a/aa3a90739d84d38da7c81d913b7ff516.jpg"
"Кукла-пчёлка малая";"";"624A";"RUB";"399";"1";"499";"";"";"Издает звук «Я увидеть мир хочу» при нажатии на игрушку";"";"Кукла-пчёлка малая";"";"";"kukla-pchёlka-malaya";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/de/20/de20c02dc988bdc290f008c0183d10a8.jpg"
"Кукла-божья коровка";"";"934";"RUB";"399";"1";"499";"";"";"Издает звук «Я увидеть мир хочу» при нажатии на игрушку";"";"Кукла-божья коровка";"";"";"kukla-bozhya-korovka";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/9a/8f/9a8fd6eebdb7e3c84e38caeafd22fc9c.jpg"
"Кукла-бабочка";"";"880";"RUB";"399";"1";"499";"";"";"Издает звук «Время суток» при нажатии на игрушку";"";"Кукла-бабочка";"";"";"kukla-babochka";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/af/cd/afcd931a433c6b8e5df1fc08a2c79068.jpg"
"Кукла Маруся в ситцевом платье";"";"8061F";"RUB";"469";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Маруся в ситцевом платье";"";"";"kukla-marusya-v-sittsevom-plate";"";"";"Высота: 26,5 см";"http://www.lavatoys.ru/media/thumbs/44/b7/44b70f057095b730b2149fb0a63a8482.jpg"
"Кукла Маруся в праздничном платье";"";"8061D";"RUB";"399";"1";"599";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Маруся в праздничном платье";"";"";"kukla-marusya-v-prazdnichnom-plate";"";"";"Высота: 26,5 см";"http://www.lavatoys.ru/media/thumbs/18/c9/18c9b87746d8f95d96ae5bc87e07e1cc.jpg"
"Кукла Маруся в платье в горошек";"";"8061E";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Маруся в платье в горошек";"";"";"kukla-marusya-v-plate-v-goroshek";"";"";"Высота: 26,5 см";"http://www.lavatoys.ru/media/thumbs/b9/d4/b9d42e2b8d3d39717a8151a0f4fab824.jpg"
"Кукла Маруся";"";"8061C";"RUB";"469";"1";"599";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла Маруся";"";"";"kukla-marusya";"";"";"Высота: 26,5 см";"http://www.lavatoys.ru/media/thumbs/60/76/60767d044f059e0aeb35489fe2d00b41.jpg"
"Кукла Ляля в шёлковом платье";"";"869C";"RUB";"399";"1";"469";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Ляля в шёлковом платье";"";"";"kukla-lyalya-v-shёlkovom-plate";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/35/88/3588b4308ccee31b1f04ff5fba0c9493.jpg"
"Кукла Ляля в платье в горошек";"";"869B*";"RUB";"399";"1";"469";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Кукла Ляля в платье в горошек";"";"";"kukla-lyalya-v-plate-v-goroshek";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/1f/bf/1fbf93e1cad6c56cd6b062da15ab9f14.jpg"
"Кукла Ляля";"";"869*";"RUB";"399";"1";"469";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Кукла Ляля";"";"";"kukla-lyalya";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/83/a5/83a5bfa5efdf72b73deb4997289cc7e2.jpg"
"Кукла Линда";"";"1218";"RUB";"1199";"1";"1999";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Линда";"";"";"kukla-linda";"";"";"Высота: 83 см";"http://www.lavatoys.ru/media/thumbs/61/46/6146bebd062e20aceb31134b83c116d3.jpg"
"Кукла Катюша в платье с розочками";"";"1138B";"RUB";"499";"1";"549";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла Катюша в платье с розочками";"";"";"kukla-katyusha-v-plate-s-rozochkami";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/ca/d1/cad1623e0c77ccdf85d752757340ccf6.jpg"
"Кукла Катюша в красном платье";"";"1138A";"RUB";"549";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Катюша в красном платье";"";"";"kukla-katyusha-v-krasnom-plate";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/04/a1/04a10a45c78766205d91dcb47f4b8fd1.jpg"
"Кукла Катюша";"";"1138";"RUB";"499";"1";"549";"";"";"Издает звук «Мне мама платьице купила» при нажатии на игрушку";"";"Кукла Катюша";"";"";"kukla-katyusha";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/36/5f/365fd32460d547464c7cd25572d4a21e.jpg"
"Кукла Карина в коричневом платье в горошек";"";"1145C";"RUB";"549";"1";"";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Карина в коричневом платье в горошек";"";"";"kukla-karina-v-korichnevom-plate-v-goroshek";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/96/b1/96b11fcb0b8d6765048b23022e2dc01c.jpg"
"Кукла Карина в клетчатом платье";"";"1145B";"RUB";"549";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Карина в клетчатом платье";"";"";"kukla-karina-v-kletchatom-plate";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/57/20/572019ef186002816a771b0c22825814.jpg"
"Кукла Карина в бордовом платье";"";"1145A";"RUB";"549";"1";"";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла Карина в бордовом платье";"";"";"kukla-karina-v-bordovom-plate";"";"";"Высота: 25 см";"http://www.lavatoys.ru/media/thumbs/89/53/895317b7e4b9bda7529a915d9b1d6673.jpg"
"Кукла Карина";"";"1145";"RUB";"399";"1";"549";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Кукла Карина";"";"";"kukla-karina";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/b6/d5/b6d55266fe3e0cfe09d4f189ee69a5d4.jpg"
"Кукла Джулия";"";"8826";"RUB";"899";"1";"1799";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Джулия";"";"";"kukla-dzhuliya";"";"";"Высота: 97 см";"http://www.lavatoys.ru/media/thumbs/89/fd/89fd939647656d5f9da2155ad43364dd.jpg"
"Кукла Даша";"";"950";"RUB";"499";"1";"599";"";"";"Издает звук «Мне мама платьице купила» при нажатии на игрушку";"";"Кукла Даша";"";"";"kukla-dasha";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/1b/e5/1be54ef9c7e0da06742d408d4c403bd7.jpg"
"Кукла Вероника в беретке";"";"1153";"RUB";"999";"1";"1999";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Вероника в беретке";"";"";"kukla-veronika-v-beretke";"";"";"Высота: 87 см";"http://www.lavatoys.ru/media/thumbs/84/84/8484106701162e017e718b559939b2bf.jpg"
"Кукла Варенька в ситцевом платье";"";"961B";"RUB";"499";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Варенька в ситцевом платье";"";"";"kukla-varenka-v-sittsevom-plate";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/46/a8/46a81f3e9169f656bab842c4d6c06551.jpg"
"Кукла Варенька в свитере";"";"961C";"RUB";"449";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Варенька в свитере";"";"";"kukla-varenka-v-svitere";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/e4/96/e496dbaa6c89024416a9ba4618571ce7.jpg"
"Кукла Варенька в вельветовом платье";"";"961A";"RUB";"499";"1";"599";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Кукла Варенька в вельветовом платье";"";"";"kukla-varenka-v-velvetovom-plate";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/39/99/3999cf1fba258d5fb1b26d7bc2c3e6e6.jpg"
"Кукла Варенька";"";"961";"RUB";"499";"1";"599";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Варенька";"";"";"kukla-varenka";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/df/d1/dfd10eeafb9db8c9ee4789aa3ce272a1.jpg"
"Кукла в шляпе";"";"879";"RUB";"499";"1";"599";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла в шляпе";"";"";"kukla-v-shlyape";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/25/4c/254c1a093cfe60bf3716ce2be99f8459.jpg"
"Кукла Алина";"";"791";"RUB";"399";"1";"499";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Кукла Алина";"";"";"kukla-alina";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/0b/5e/0b5ee7de89768bd435547d55c12b3322.jpg"
"Кукла Алёнушка в русском сарафане";"";"1209";"RUB";"349";"1";"699";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла Алёнушка в русском сарафане";"";"";"kukla-alёnushka-v-russkom-sarafane";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/3b/d3/3bd347130701ecbce2a65bbbd4cac99a.jpg"
"Красная шапочка средняя";"";"419B";"RUB";"549";"1";"";"";"";"Издает звук «Колокольчики мои» при нажатии на игрушку";"";"Красная шапочка средняя";"";"";"krasnaya-shapochka-srednyaya";"";"";"Высота: 27 см";"http://www.lavatoys.ru/media/thumbs/be/11/be11d6b6c540f895fdef0a0382e38e37.jpg"
"Красная шапочка малая";"";"419A";"RUB";"449";"1";"549";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Красная шапочка малая";"";"";"krasnaya-shapochka-malaya";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/ad/43/ad43d84b95ac10a41c0deb6589f395dd.jpg"
"!!Лисы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
